admin_seat_name,uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
Выборгъ,6,Выборгское Намѣстничество,Выборгское Наместничество,Vyborgskoe Namiestnichestvo,Vyborgskoe Namestnichestvo,,,,,1785,1796,POINT,28.744167,60.709167,"Vyborg, Leningrad Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Выборгъ,47,Выборгский уѣздѣ,Выборгский уезд,Vyborgskii uiezdie,Vyborgskii uezd,,,,,1785,1796,POINT,28.744167,60.709167,"Vyborg, Leningrad Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
Фридрихсгамъ,330,Фридрихсгамский уѣздѣ,Фридрихсгамский уезд,Fridrikhsgamskii uiezdie,Fridrikhsgamskii uezd,,,,,1785,1796,POINT,27.19794,60.56974,Hamina,Finland,FI,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
Кексгольмъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Вильманстрандъ,280,Вильманстрандский уѣздѣ,Вильманстрандский уезд,Vil'manstrandskii uiezdie,Vil'manstrandskii uezd,,,,,1785,1796,POINT,28.231957,61.048829,Lappeenranta,Finland,FI,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
Нейшлотъ,321,Нейшлотский уѣздѣ,Нейшлотский уезд,Neishlotskii uiezdie,Neishlotskii uezd,,,,,1785,1796,POINT,28.87999,61.8699,Savonlinna,Finland,FI,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
Сердоболь,249,Сердовольский уѣздѣ,Сердовольский уезд,Serdovol'skii uiezdie,Serdovol'skii uezd,,,,,1785,1796,POINT,30.67434,61.69459,"Sortavala, Republic of Karelia",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,6,
Вятка,7,Вятское Намѣстничество,Вятское Наместничество,Viatskoe Namiestnichestvo,Viatskoe Namestnichestvo,,,,,1785,1796,POINT,49.65,58.6,"Kirov, Kirov Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Вятка,48,Виатский уѣздѣ,Виатский уезд,Viatskii uiezdie,Viatskii uezd,,,,,1785,1796,POINT,49.65,58.6,"Kirov, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
Кай городъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Котелничь,185,Котельничский уѣздѣ,Котельничский уезд,Kotel'nichskii uiezdie,Kotel'nichskii uezd,,,,,1785,1796,POINT,48.348,58.3089,"Kotelnich, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
Слободскій,303,Слободский уѣздѣ,Слободский уезд,Slobodskii uiezdie,Slobodskii uezd,,,,,1785,1796,POINT,50.17722,58.73222,"Slobodskoy, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
Уржумъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Орловъ на Вяткѣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Яранскъ,304,Яранский уѣздѣ,Яранский уезд,Iaranskii uiezdie,Iaranskii uezd,,,,,1785,1796,POINT,47.88611,57.30331,"Yaransk, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
Царевосанчурскъ,218,Царевосанчурский уѣздѣ,Царевосанчурский уезд,Tsarevosanchurskii uiezdie,Tsarevosanchurskii uezd,,,,,1785,1796,POINT,47.24987,56.94125,"Sanchursk, Kirov Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,7,
Глазовъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Елабуга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Малмышъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Сарапуль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Нолинскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Екатеринославъ,8,Екатеринославское Намѣстничество,Екатеринославское Наместничество,Ekaterinoslavskoe Namiestnichestvo,Ekaterinoslavskoe Namestnichestvo,,,,,1785,1796,POINT,35.018155,48.466601,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Екатеринославъ,49,Екатеринославский уѣздѣ,Екатеринославский уезд,Ekaterinoslavskii uiezdie,Ekaterinoslavskii uezd,,,,,1785,1796,POINT,35.018155,48.466601,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
Градижскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Полтава,138,Полотавский уѣздѣ,Полотавский уезд,Polotavskii uiezdie,Polotavskii uezd,,,,,1785,1796,POINT,34.54073,49.59373,"Poltava, Poltavs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
Славяанскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Маріуполь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Херсонъ,266,Херсонский уѣздѣ,Херсонский уезд,Khersonskii uiezdie,Khersonskii uezd,,,,,1785,1796,POINT,32.6178,46.65581,"Kherson, Khersons'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
Бахмутъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Павлоградъ,277,Павлоградский уѣздѣ,Павлоградский уезд,Pavlogradskii uiezdie,Pavlogradskii uezd,,,,,1785,1796,POINT,35.87098,48.53426,"Pavlohrad, Dnipropetrovsk Oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
Новомиргородъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Елисабетградъ,314,Елисаветградский уѣздѣ,Елисаветградский уезд,Elisavetgradskii uiezdie,Elisavetgradskii uezd,,,,,1785,1796,POINT,32.2597,48.5132,"Kirovohrad, Kirovohrads'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,8,
Новомосковскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Константиноградъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Алексополь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Донецкъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Александрія,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Иркутскъ,9,Иркутское Намѣстничество,Иркутское Наместничество,Irkutskoe Namiestnichestvo,Irkutskoe Namestnichestvo,,,,,1785,1796,POINT,104.29639,52.29778,"Irkutsk, Irkutsk Oblast",Russia,RU,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Иркутскъ,50,Иркутский уѣздѣ,Иркутский уезд,Irkutskii uiezdie,Irkutskii uezd,,,,,1785,1796,POINT,104.29639,52.29778,"Irkutsk, Irkutsk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Верхній Удинскъ,95,Верхнеудинский уѣздѣ,Верхнеудинский уезд,Verkhneudinskii uiezdie,Verkhneudinskii uezd,,,,,1785,1796,POINT,107.6,51.833333,"Ulan-Ude, Buryatia",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Нижній Удинскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Киренскъ,113,Киренский уѣздѣ,Киренский уезд,Kirenskii uiezdie,Kirenskii uezd,,,,,1785,1796,POINT,108.11194,57.78528,"Kirensky District, Irkutsk Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Нерчинскъ,219,Нерчинский уѣздѣ,Нерчинский уезд,Nerchinskii uiezdie,Nerchinskii uezd,,,,,1785,1796,POINT,116.58333,51.98333,"Nerchinsk, Zabaykalsky Krai",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Доронинскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Баргузинъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Стрѣтинскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Якутскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Олекминскъ,238,Олёкминский уѣздѣ,Олёкминский уезд,Olёkminskii uiezdie,Olёkminskii uezd,,,,,1785,1796,POINT,120.4203,60.3743,"Olekminskiy ulus, Sakha Republic",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,9,
Оленскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
