ID,title,reprLat,reprLong,reprType,geonamesType,provisional
743,Khorol,49.78367,33.27833,GeoNames,PPL,0
705,Tula,54.19609,37.61822,GeoNames,PPL,0
896,Valuiskii uezd,50.2035,38.1067,seat,ADM2,0
90,Belokurina,,,,PPL,0
203,Dubrovki,54.39578,43.54228,GeoNames,PPL,0
1125,Mglinskii uezd,53.05907,32.84753,seat,ADM2,0
419,Mglin,53.05907,32.84753,GeoNames,PPL,0
903,Gorokhovetskii uezd,56.20152,42.69351,seat,ADM2,0
308,Kozhino,,,,PPL,0
247,Ivanovskoe,,,,PPL,0
888,Arzamaskii uezd,55.39485,43.83992,seat,ADM2,0
822,Nizhegorodskoe Namestnichestvo,56.32867,44.00205,seat,ADM1,0
20,Arzamas,55.39485,43.83992,GeoNames,PPL,0
849,Vladimerskii uezd,56.133333,40.416667,seat,ADM2,0
731,Florovo,,,,PPL,0
917,Kineshemskii uezd,57.43914,42.12894,seat,ADM2,0
819,Kostromskoe Namestnichestvo,57.766667,40.933333,seat,ADM1,0
289,Kineshma,57.43914,42.12894,GeoNames,PPL,0
966,Borznianskii uezd,51.25464,32.4269,seat,ADM2,0
62,Borzna,51.25464,32.4269,GeoNames,PPL,0
996,Laishevskii uezd,55.40464,49.55037,seat,ADM2,0
816,Kazanskoe Namestnichestvo,55.790833,49.114444,seat,ADM1,0
371,Laishev,55.40464,49.55037,GeoNames,PPL,0
173,Grebenishki,,,,PPL,0
627,Seredina Buda,52.18903,34.03639,GeoNames,PPL,0
802,Iareski,,,,PPL,0
1560,Poltavskii uezd,49.59373,34.54073,seat,ADM2,0
748,Tsarichenka,48.93697,34.4786,GeoNames,PPL,0
960,Chukhlomskii uezd,58.75375,42.68318,seat,ADM2,0
41,Berezovtsa,,,,PPL,0
1004,Lebedinskii uezd,50.58518,34.4849,seat,ADM2,0
433,Mikhailovka,49.22603,35.96695,GeoNames,PPL,0
476,Nosovichi,52.2792,31.2675,GeoNames,PPL,0
982,Zhiganskii uezd,66.76601,123.37418,seat,ADM2,0
814,Irkutskoe Namestnichestvo,52.29778,104.29639,seat,ADM1,0
225,Zhigansk,66.76601,123.37418,GeoNames,PPL,0
222,Eremeevka,,,,PPL,0
48,Bobrovskoe,57.50211,64.16392,GeoNames,PPL,0
344,Krasnopol',,,,PPL,0
1083,Valkovskii uezd,49.83597,35.61223,seat,ADM2,0
95,Valki,49.83597,35.61223,GeoNames,PPL,0
1042,Odoevskii uezd,53.93933,36.68639,seat,ADM2,0
484,Odoev,53.93933,36.68639,GeoNames,PPL,0
589,Ruza,55.69898,36.19522,GeoNames,PPL,0
167,Gorodishche,,,,PPL,0
483,Odintsovo,,,,PPL,0
100,Veidelevka,50.1521,38.4492,GeoNames,PPL,0
955,Suzdal'skii uezd,56.42274,40.44668,seat,ADM2,0
143,Gavrilova,55.94667,38.58917,GeoNames,PPL,0
734,Khar'kov,49.98081,36.25272,GeoNames,PPL,0
669,Suzdal',56.42274,40.44668,GeoNames,PPL,0
973,Ves'egonskii uezd,58.66398,37.2604,seat,ADM2,0
110,Vesiegonsk,58.66398,37.2604,GeoNames,PPL,0
894,Belogorodskii uezd,50.61074,36.58015,seat,ADM2,0
