ID,attestedName,romanized_name,nameLanguage
308,Верея,Vereia,Russian (Old Orthography)
309,Чаусы,Chausy,Russian (Old Orthography)
310,Бора,Bora,Russian (Old Orthography)
311,Торопецъ,"Toropets""",Russian (Old Orthography)
312,Татарскъ,"Tatarsk""",Russian (Old Orthography)
313,Муриково,Murikovo,Russian (Old Orthography)
314,Левкіевъ,"Levkіev""",Russian (Old Orthography)
315,Ахтырка,Akhtyrka,Russian (Old Orthography)
316,Тихонова,Tikhonova,Russian (Old Orthography)
317,Троицкъ,"Troitsk""",Russian (Old Orthography)
318,Шартолинской Николаевской,Shartolinskoi Nikolaevskoi,Russian (Old Orthography)
319,Красноборскъ,"Krasnoborsk""",Russian (Old Orthography)
320,Богородскъ,"Bogorodsk""",Russian (Old Orthography)
321,Веневской Николаевской,Venevskoi Nikolaevskoi,Russian (Old Orthography)
322,Орликъ,"Orlik""",Russian (Old Orthography)
323,Мценскъ,"Mtsensk""",Russian (Old Orthography)
324,Кадинъ,"Kadin""",Russian (Old Orthography)
325,Константиновское,Konstantinovskoe,Russian (Old Orthography)
326,Вѣтка,Vetka,Russian (Old Orthography)
327,Сталеровчизна,Stalerovchizna,Russian (Old Orthography)
328,Благовѣщенской Приходъ,"Blagoveshchenskoi Prikhod""",Russian (Old Orthography)
329,Аргамачья,Argamach'ia,Russian (Old Orthography)
330,Оквадская,Okvadskaia,Russian (Old Orthography)
331,Орѣховка,Orekhovka,Russian (Old Orthography)
332,Варва,Varva,Russian (Old Orthography)
333,Тула,Tula,Russian (Old Orthography)
334,Безгиновка,Bezginovka,Russian (Old Orthography)
335,Краснополье,Krasnopol'e,Russian (Old Orthography)
336,Недригайловъ,"Nedrigailov""",Russian (Old Orthography)
337,Тихонова,Tikhonova,Russian (Old Orthography)
338,Даймино,Daimino,Russian (Old Orthography)
339,Даймикъ,"Daimik""",Russian (Old Orthography)
340,Олекминскъ,"Olekminsk""",Russian (Old Orthography)
341,Тискады,Tiskady,Russian (Old Orthography)
342,Масленская,Maslenskaia,Russian (Old Orthography)
343,Усть-Сысольскъ,"Ust'-Sysol'sk""",Russian (Old Orthography)
344,Стешки,Steshki,Russian (Old Orthography)
345,Ивановское,Ivanovskoe,Russian (Old Orthography)
346,Боромдя,Boromdia,Russian (Old Orthography)
347,Нерехта,Nerekhta,Russian (Old Orthography)
348,Духовщина,Dukhovshchina,Russian (Old Orthography)
349,Густиново,Gustinovo,Russian (Old Orthography)
350,Купенка,Kupenka,Russian (Old Orthography)
351,Верхній Удинскъ,"Verkhnіi Udinsk""",Russian (Old Orthography)
352,Коквино,Kokvino,Russian (Old Orthography)
353,Коковино,Kokovino,Russian (Old Orthography)
354,Тресвятское,Tresviatskoe,Russian (Old Orthography)
355,Урень,Uren',Russian (Old Orthography)
356,Чернь,Chern',Russian (Old Orthography)
357,Глемязовъ,"Glemiazov""",Russian (Old Orthography)
358,Смоленскъ,"Smolensk""",Russian (Old Orthography)
359,Якутскъ,"Iakutsk""",Russian (Old Orthography)
360,Мшага,Mshaga,Russian (Old Orthography)
361,Мшажской,Mshazhskoi,Russian (Old Orthography)
362,Глинскъ,"Glinsk""",Russian (Old Orthography)
363,Муратова,Muratova,Russian (Old Orthography)
364,Порѣчье,Porech'e,Russian (Old Orthography)
365,Ляды,Liady,Russian (Old Orthography)
366,Переволочна,Perevolochna,Russian (Old Orthography)
367,Крыловъ,"Krylov""",Russian (Old Orthography)
368,Далматовъ,"Dalmatov""",Russian (Old Orthography)
369,Бѣлокурина,Belokurina,Russian (Old Orthography)
370,Бойня,Boinia,Russian (Old Orthography)
371,Малыкова,Malykova,Russian (Old Orthography)
372,Дубовое,Dubovoe,Russian (Old Orthography)
373,Асаково,Asakovo,Russian (Old Orthography)
374,Моцына,Motsyna,Russian (Old Orthography)
375,Сердоболь,Serdobol',Russian (Old Orthography)
376,Серпуховъ,"Serpukhov""",Russian (Old Orthography)
377,Сватова Лучка,Svatova Luchka,Russian (Old Orthography)
378,Таруса,Tarusa,Russian (Old Orthography)
379,Дубровки,Dubrovki,Russian (Old Orthography)
380,Ирбитъ,"Irbit""",Russian (Old Orthography)
381,Плесъ,"Ples""",Russian (Old Orthography)
382,Яренскъ,"Iarensk""",Russian (Old Orthography)
383,Ольховатка,Ol'khovatka,Russian (Old Orthography)
384,Кочелаево,Kochelaevo,Russian (Old Orthography)
385,Тимъ,"Tim""",Russian (Old Orthography)
386,Валдай,Valdai,Russian (Old Orthography)
387,Китайской,Kitaiskoi,Russian (Old Orthography)
388,Путятино,Putiatino,Russian (Old Orthography)
389,Часовня Св. Духа,Chasovnia Sv. Dukha,Russian (Old Orthography)
390,Деркулъ,"Derkul""",Russian (Old Orthography)
391,Сергачь,Sergach',Russian (Old Orthography)
392,Оберъ - Паленъ,"Ober"" - Palen""",Russian (Old Orthography)
393,Писаревка,Pisarevka,Russian (Old Orthography)
394,Ливны,Livny,Russian (Old Orthography)
395,Калиберда,Kaliberda,Russian (Old Orthography)
396,Келеберда,Keleberda,Russian (Old Orthography)
397,Семеновъ,"Semenov""",Russian (Old Orthography)
398,Красной Колядинъ,"Krasnoi Koliadin""",Russian (Old Orthography)
399,Сумская Ворожба,Sumskaia Vorozhba,Russian (Old Orthography)
400,Шокино,Shokino,Russian (Old Orthography)
401,Полотскъ,"Polotsk""",Russian (Old Orthography)
402,Масловичи,Maslovichi,Russian (Old Orthography)
403,Камышня,Kamyshnia,Russian (Old Orthography)
404,Комышня,Komyshnia,Russian (Old Orthography)
405,Ильинское,Il'inskoe,Russian (Old Orthography)
406,Дубковъ,"Dubkov""",Russian (Old Orthography)
407,Новоникольское,Novonikol'skoe,Russian (Old Orthography)
408,Самодуровка,Samodurovka,Russian (Old Orthography)
409,Дергачи,Dergachi,Russian (Old Orthography)
410,Воронковъ,"Voronkov""",Russian (Old Orthography)
411,Глушицкой,Glushitskoi,Russian (Old Orthography)
412,Кистеръ,"Kister""",Russian (Old Orthography)
413,Березники,Berezniki,Russian (Old Orthography)
414,Липовское,Lipovskoe,Russian (Old Orthography)
415,Коренная,Korennaia,Russian (Old Orthography)
416,Ядринъ,"Iadrin""",Russian (Old Orthography)
417,Сызрань,Syzran',Russian (Old Orthography)
418,Лубны,Lubny,Russian (Old Orthography)
419,Александрова Пустыня,Aleksandrova Pustynia,Russian (Old Orthography)
420,Сѣвскъ,"Sevsk""",Russian (Old Orthography)
421,Раменье,Ramen'e,Russian (Old Orthography)
422,Малой Архангельскъ,"Maloi Arkhangel'sk""",Russian (Old Orthography)
423,Ивановка,Ivanovka,Russian (Old Orthography)
424,Троицкая Сергіева,Troitskaia Sergіeva,Russian (Old Orthography)
425,Мглинъ,"Mglin""",Russian (Old Orthography)
426,Серпейскъ,"Serpeisk""",Russian (Old Orthography)
427,Екатерининская,Ekaterininskaia,Russian (Old Orthography)
428,Халань,Khalan',Russian (Old Orthography)
429,Слольца Колесная,Slol'tsa Kolesnaia,Russian (Old Orthography)
430,Подолъ,"Podol""",Russian (Old Orthography)
431,Коломна,Kolomna,Russian (Old Orthography)
432,Берники,Berniki,Russian (Old Orthography)
433,Городокъ,"Gorodok""",Russian (Old Orthography)
434,Весіегонскъ,"Vesіegonsk""",Russian (Old Orthography)
435,Высокое,Vysokoe,Russian (Old Orthography)
436,Ладога Новая,Ladoga Novaia,Russian (Old Orthography)
437,Воронежъ,"Voronezh""",Russian (Old Orthography)
438,Рожественское,Rozhestvenskoe,Russian (Old Orthography)
439,Нѣжинъ,"Nezhin""",Russian (Old Orthography)
