ID,attestedName,romanizedName,nameLanguage
194,Макарьевский уѣздѣ,Makar'evskii uiezdie,Russian (Old Orthography)
195,Черкаский уѣздѣ,Cherkaskii uiezdie,Russian (Old Orthography)
196,Вытегорский уѣздѣ,Vytegorskii uiezdie,Russian (Old Orthography)
197,Лебединский уѣздѣ,Lebedinskii uiezdie,Russian (Old Orthography)
198,Екатеринбургский уѣздѣ,Ekaterinburgskii uiezdie,Russian (Old Orthography)
199,Сапожковский уѣздѣ,Sapozhkovskii uiezdie,Russian (Old Orthography)
200,Дерптский уѣздѣ,Derptskii uiezdie,Russian (Old Orthography)
201,Карачевский уѣздѣ,Karachevskii uiezdie,Russian (Old Orthography)
202,Коротоякский уѣздѣ,Korotoiakskii uiezdie,Russian (Old Orthography)
203,Сенненский уѣздѣ,Sennenskii uiezdie,Russian (Old Orthography)
204,Богородский уѣздѣ,Bogorodskii uiezdie,Russian (Old Orthography)
205,Козьмодемьянский уѣздѣ,Koz'modem'ianskii uiezdie,Russian (Old Orthography)
206,Воскресенский уѣздѣ,Voskresenskii uiezdie,Russian (Old Orthography)
207,Ефремовский уѣздѣ,Efremovskii uiezdie,Russian (Old Orthography)
208,Боровский уѣздѣ,Borovskii uiezdie,Russian (Old Orthography)
209,Опочецкий уѣздѣ,Opochetskii uiezdie,Russian (Old Orthography)
210,Царевококшайский уѣздѣ,Tsarevokokshaiskii uiezdie,Russian (Old Orthography)
211,Юрьева-Польский уѣздѣ,Iur'eva-Pol'skii uiezdie,Russian (Old Orthography)
212,Порховский уѣздѣ,Porkhovskii uiezdie,Russian (Old Orthography)
213,Курмышский уѣздѣ,Kurmyshskii uiezdie,Russian (Old Orthography)
214,Сумский уѣздѣ,Sumskii uiezdie,Russian (Old Orthography)
215,Луховский уѣздѣ,Lukhovskii uiezdie,Russian (Old Orthography)
216,Царевосанчурский уѣздѣ,Tsarevosanchurskii uiezdie,Russian (Old Orthography)
217,Нерчинский уѣздѣ,Nerchinskii uiezdie,Russian (Old Orthography)
218,Повенецкий уѣздѣ,Povenetskii uiezdie,Russian (Old Orthography)
219,Инсарский уѣздѣ,Insarskii uiezdie,Russian (Old Orthography)
220,Шуйский уѣздѣ,Shuiskii uiezdie,Russian (Old Orthography)
221,Роменский уѣздѣ,Romenskii uiezdie,Russian (Old Orthography)
222,Богородицкий уѣздѣ,Bogoroditskii uiezdie,Russian (Old Orthography)
223,Ирбитский уѣздѣ,Irbitskii uiezdie,Russian (Old Orthography)
224,Новоладожский уѣздѣ,Novoladozhskii uiezdie,Russian (Old Orthography)
225,Макарьевский уѣздѣ,Makar'evskii uiezdie,Russian (Old Orthography)
226,Медынский уѣздѣ,Medynskii uiezdie,Russian (Old Orthography)
227,Мешчовский уѣздѣ,Meshchovskii uiezdie,Russian (Old Orthography)
228,Микхайловский уѣздѣ,Mikkhailovskii uiezdie,Russian (Old Orthography)
229,Моршанский уѣздѣ,Morshanskii uiezdie,Russian (Old Orthography)
230,Мосальский уѣздѣ,Mosal'skii uiezdie,Russian (Old Orthography)
231,Муромский уѣздѣ,Muromskii uiezdie,Russian (Old Orthography)
232,Мценский уѣздѣ,Mtsenskii uiezdie,Russian (Old Orthography)
233,Мышкинский уѣздѣ,Myshkinskii uiezdie,Russian (Old Orthography)
234,Недригайловский уѣздѣ,Nedrigailovskii uiezdie,Russian (Old Orthography)
235,Одоевский уѣздѣ,Odoevskii uiezdie,Russian (Old Orthography)
236,Олёкминский уѣздѣ,Olёkminskii uiezdie,Russian (Old Orthography)
237,Осташковский уѣздѣ,Ostashkovskii uiezdie,Russian (Old Orthography)
