ID,title,reprLong,reprLat,reprType
220,Povenetskii uezd,34.82621,62.8487,seat
221,Insarskii uezd,44.37382,53.86531,seat
222,Shuiskii uezd,41.38833,56.84865,seat
223,Romenskii uezd,33.47471,50.75104,seat
224,Bogoroditskii uezd,38.12408,53.77166,seat
225,Irbitskii uezd,63.071,57.67052,seat
226,Novoladozhskii uezd,32.30191,60.10246,seat
227,Makar'evskii uezd,43.8049,57.88501,seat
228,Medynskii uezd,35.85861,54.96917,seat
229,Meshchovskii uezd,35.28083,54.32444,seat
230,Mikkhailovskii uezd,39.0269,54.2298,seat
231,Morshanskii uezd,41.81065,53.44354,seat
232,Mosal'skii uezd,34.98167,54.48806,seat
233,Muromskii uezd,42.0426,55.575,seat
234,Mtsenskii uezd,36.57334,53.27657,seat
235,Myshkinskii uezd,38.45448,57.78973,seat
236,Nedrigailovskii uezd,33.87626,50.83398,seat
237,Odoevskii uezd,36.68639,53.93933,seat
238,Olёkminskii uezd,120.4203,60.3743,seat
239,Ostashkovskii uezd,33.10753,57.14667,seat
240,Ostrogozhskii uezd,39.07561,50.8664,seat
241,Peremyshl'skii uezd,36.16063,54.26313,seat
242,Petrovskii uezd,45.39167,52.30639,seat
243,Plesskii uezd,41.51579,57.45862,seat
244,Putivl'skii uezd,33.87066,51.33745,seat
245,Rybinskii uezd,38.84259,58.0446,seat
246,Ryl'skii uezd,34.6822,51.5655,seat
247,Riazhskii uezd,40.1109,53.7038,seat
248,Sergachskii uezd,45.46611,55.53079,seat
249,Serdovol'skii uezd,30.67434,61.69459,seat
250,Serdobskii uezd,44.21689,52.45861,seat
251,Serpeiskii uezd,34.98889,54.33583,seat
252,Serpukhovskii uezd,37.41114,54.91578,seat
253,Sol'vychegodskii uezd,46.91559,61.33046,seat
254,Stavropol'skii uezd,49.3461,53.5303,seat
255,Sudzhanskii uezd,35.2726,51.1976,seat
256,Sevskii uezd,34.4926,52.1491,seat
257,Tarusskii uezd,37.17272,54.72436,seat
258,Tikhvinskii uezd,33.52937,59.64511,seat
259,Toropetskii uezd,31.63528,56.49779,seat
260,Uglichskii uezd,38.33167,57.5275,seat
261,Ust'-Sysol'skii uezd,50.80994,61.67642,seat
262,Velikoustiugskii uezd,46.31352,60.76186,seat
263,Fatezhskii uezd,35.8632,52.0891,seat
264,Fellinskii uezd,25.59,58.36389,seat
265,Khvalynskii uezd,48.1058,52.4906,seat
266,Khersonskii uezd,32.6178,46.65581,seat
267,Cherepovetskii uezd,37.9,59.13333,seat
268,Chuguevskii uezd,36.68803,49.83588,seat
269,Iadrinskii uezd,46.20622,55.94052,seat
270,Nikitskii uezd,37.85811,55.49177,seat
271,Podol'skii uezd,37.55472,55.42418,seat
272,Klinskii uead,36.73333,56.33333,seat
273,Shadrinskii uezd,63.6335,56.0852,seat
274,Spaskii uezd,43.013525,54.06635,seat
275,Tsyvil'skii uezd,47.668387,55.737351,seat
276,Bel'skii uezd,32.92948,55.848054,seat
277,Pavlogradskii uezd,35.87098,48.53426,seat
278,Valkovskii uezd,35.61223,49.83597,seat
279,Porechenskii uezd,31.27662,55.31192,seat
280,Vil'manstrandskii uezd,28.231957,61.048829,seat
282,Gorodnianskii uezd,31.59741,51.89085,seat
283,Mologskii uezd,38.57269,58.172519,seat
284,Borisoglebskii uezd,39.525119,57.866991,seat
285,Romanovskii uezd,39.5406,57.88529,seat
286,Dukhovshchinskii uezd,32.4111,55.1919,seat
287,Dorogobuzhskii uezd,33.25,55.11667,seat
288,L'govskii uezd,35.2775,51.63069,seat
289,Timskii uezd,37.12444,51.62222,seat
290,Shchigrovskii uezd,36.90432,51.87555,seat
291,Usmanskii uezd,39.7288,52.04662,seat
292,Kirsanovskii uezd,42.72236,52.65494,seat
293,Pochinkovskii uezd,44.86678,54.69875,seat
294,Lukoianovskii uezd,44.47865,55.02772,seat
295,Kniagininskii uezd,45.03489,55.82278,seat
296,Balakhninskii uezd,43.60114,56.48989,seat
297,Semёnovskii uezd,44.49297,56.78749,seat
298,Trubchevskii uezd,33.7644,52.5798,seat
299,Chern'skii uezd,36.9145,53.45232,seat
300,Skopinskii uezd,39.55053,53.82486,seat
301,Pronskii uezd,39.6092,54.1048,seat
302,Staritskii uezd,34.93544,56.50752,seat
303,Slobodskii uezd,50.17722,58.73222,seat
304,Iaranskii uezd,47.88611,57.30331,seat
305,Turinskii uezd,63.69605,58.04575,seat
306,Bogatenskii uezd,36.02332,50.97632,seat
307,Borovichskii uezd,33.91667,58.38333,seat
308,Valdaiskii uezd,33.2525,57.97472,seat
309,Berezinskii uezd,31.78456,51.5716,seat
310,Berezovskii uezd,65.04194,63.93806,seat
311,Vyshnevolotskii uezd,34.56453,57.59125,seat
312,Gabzal'skii uezd,23.54139,58.94306,seat
313,Gzhatskii uezd,34.99537,55.55291,seat
314,Elisavetgradskii uezd,32.2597,48.5132,seat
315,Zen'kovskii uezd,34.36376,50.20806,seat
316,Kirillovskii uezd,38.38128,59.86299,seat
317,Maloarkhangel'skii uezd,36.50332,52.40024,seat
318,Maloiaroslavetskii uezd,36.47185,55.01457,seat
319,Mangazeiskii uezd,87.95006,65.79479,seat
320,Mglinskii uezd,32.84753,53.05907,seat
321,Neishlotskii uezd,28.87999,61.8699,seat
322,Pereslavl'-Zalesskii uezd,38.85626,56.73934,seat
323,Pernovskii uezd,24.49711,58.38588,seat
324,Pudozhskii uezd,36.5277,61.80415,seat
325,Rzhevskii uezd,34.32817,56.26241,seat
326,Rezhitskii uezd,27.31667,56.5,seat
327,Soligalichskii uezd,42.28526,59.0796,seat
328,Starooskol'skii uezd,37.84167,51.29667,seat
329,Ustiuzhenskii uezd,36.4321,58.8394,seat
330,Fridrikhsgamskii uezd,27.19794,60.56974,seat
331,Khoperskii uezd,41.6252,51.0969,seat
332,Dalmatovskii uezd,62.9362,56.26,seat
333,Khot'myshskii uezd,35.86306,50.59417,seat
334,Chausskii uezd,30.9717,53.8098,seat
335,Chembarskii uezd,43.41647,52.96474,seat
336,Cherdynskii uezd,56.47868,60.40295,seat
337,Shishkeevskii uezd,44.75599,54.19005,seat
338,Arkhangel'sk,40.533333,64.533333,point
339,Voronezh,39.210556,51.671667,point
340,Vyborg,28.744167,60.709167,point
341,Irkutsk,104.29639,52.29778,point
342,Astrakhan',48.036667,46.323611,point
343,Kostroma,40.933333,57.766667,point
344,Polotsk,28.7856,55.4879,point
